MOL_1,MOL_2,logV
CCc1ccccc1,CCCCCC,-7.38742
CCCCCC,CCc1ccccc1,-8.40324
CCc1ccccc1,CCCCCC,-7.40273
CCCCCC,CCc1ccccc1,-8.35786
CCc1ccccc1,CCCCCC,-7.42266
CCCCCC,CCc1ccccc1,-8.31203
CCc1ccccc1,CCCCCC,-7.44583
CCCCCC,CCc1ccccc1,-8.26962
CCc1ccccc1,CCCCCC,-7.47505
CCCCCC,CCc1ccccc1,-8.227
CCc1ccccc1,CCCCCC,-7.50219
CCCCCC,CCc1ccccc1,-8.19533
CCc1ccccc1,CCCCCC,-7.52966
CCCCCC,CCc1ccccc1,-8.16942
CCc1ccccc1,CCCCCC,-7.55184
CCCCCC,CCc1ccccc1,-8.15244
CCc1ccccc1,CCCCCC,-7.57596
CCCCCC,CCc1ccccc1,-8.13772
CCc1ccccc1,CCCCCC,-7.59252
CCCCCC,CCc1ccccc1,-8.12985
CCc1ccccc1,CCCCCC,-7.60875
CCCCCC,CCc1ccccc1,-8.12397
CCc1ccccc1,CCCCCC,-7.62066
CCCCCC,CCc1ccccc1,-8.12074
CCc1ccccc1,CCCCCC,-7.64876
CCCCCC,CCc1ccccc1,-8.11583
CCc1ccccc1,CCCCCC,-7.68545
CCCCCC,CCc1ccccc1,-8.11266
CCc1ccccc1,C1CCCCC1,-7.43391
C1CCCCC1,CCc1ccccc1,-7.46569
C1CCCCC1,CCc1ccccc1,-7.10501
CCc1ccccc1,C1CCCCC1,-7.43128
CCc1ccccc1,C1CCCCC1,-7.44204
C1CCCCC1,CCc1ccccc1,-7.41966
CCc1ccccc1,C1CCCCC1,-7.45714
C1CCCCC1,CCc1ccccc1,-7.3744
CCc1ccccc1,C1CCCCC1,-7.48132
C1CCCCC1,CCc1ccccc1,-7.32957
CCc1ccccc1,C1CCCCC1,-7.52014
C1CCCCC1,CCc1ccccc1,-7.28242
CCc1ccccc1,C1CCCCC1,-7.57633
C1CCCCC1,CCc1ccccc1,-7.2367
CCc1ccccc1,C1CCCCC1,-7.66372
C1CCCCC1,CCc1ccccc1,-7.18994
CCc1ccccc1,C1CCCCC1,-7.78558
C1CCCCC1,CCc1ccccc1,-7.14955
CCc1ccccc1,C1CCCCC1,-7.96797
C1CCCCC1,CCc1ccccc1,-7.11764
CCc1ccccc1,C1CCCCC1,-7.51967
C1CCCCC1,CCc1ccccc1,-7.28288
C1CCCCC1,CCc1ccccc1,-7.10501
CCc1ccccc1,C1CCCCC1,-7.43128
CCc1ccccc1,C1CCCCC1,-7.49101
C1CCCCC1,CCc1ccccc1,-7.53865
C1CCCCC1,CCc1ccccc1,-7.18581
CCc1ccccc1,C1CCCCC1,-7.48743
CCc1ccccc1,C1CCCCC1,-7.54517
C1CCCCC1,CCc1ccccc1,-7.61586
C1CCCCC1,CCc1ccccc1,-7.26302
CCc1ccccc1,C1CCCCC1,-7.54159
CCc1ccccc1,C1CCCCC1,-7.49749
C1CCCCC1,CCc1ccccc1,-7.50333
CCc1ccccc1,C1CCCCC1,-7.55165
C1CCCCC1,CCc1ccccc1,-7.58054
CCc1ccccc1,C1CCCCC1,-7.51274
C1CCCCC1,CCc1ccccc1,-7.45651
CCc1ccccc1,C1CCCCC1,-7.5669
C1CCCCC1,CCc1ccccc1,-7.53371
CCc1ccccc1,C1CCCCC1,-7.53894
C1CCCCC1,CCc1ccccc1,-7.40819
CCc1ccccc1,C1CCCCC1,-7.5931
C1CCCCC1,CCc1ccccc1,-7.48539
CCc1ccccc1,C1CCCCC1,-7.5769
C1CCCCC1,CCc1ccccc1,-7.36262
CCc1ccccc1,C1CCCCC1,-7.63106
C1CCCCC1,CCc1ccccc1,-7.43982
CCc1ccccc1,C1CCCCC1,-7.63026
C1CCCCC1,CCc1ccccc1,-7.319
CCc1ccccc1,C1CCCCC1,-7.68442
C1CCCCC1,CCc1ccccc1,-7.39621
CCc1ccccc1,C1CCCCC1,-7.71576
C1CCCCC1,CCc1ccccc1,-7.27252
CCc1ccccc1,C1CCCCC1,-7.76992
C1CCCCC1,CCc1ccccc1,-7.34972
CCc1ccccc1,C1CCCCC1,-7.82659
C1CCCCC1,CCc1ccccc1,-7.23431
CCc1ccccc1,C1CCCCC1,-7.88075
C1CCCCC1,CCc1ccccc1,-7.31151
CCc1ccccc1,C1CCCCC1,-8.04915
C1CCCCC1,CCc1ccccc1,-7.19585
CCc1ccccc1,C1CCCCC1,-8.10331
C1CCCCC1,CCc1ccccc1,-7.27305
CCc1ccccc1,CCCCCCCC,-7.53063
CCCCCCCC,CCc1ccccc1,-7.51875
CCCCCCCC,CCc1ccccc1,-7.51846
CCc1ccccc1,CCCCCCCC,-7.31199
CCc1ccccc1,CCCCCCCC,-7.51951
CCCCCCCC,CCc1ccccc1,-7.51971
CCc1ccccc1,CCCCCCCC,-7.49049
CCCCCCCC,CCc1ccccc1,-7.5251
CCc1ccccc1,CCCCCCCC,-7.45902
CCCCCCCC,CCc1ccccc1,-7.53597
CCc1ccccc1,CCCCCCCC,-7.42611
CCCCCCCC,CCc1ccccc1,-7.55437
CCc1ccccc1,CCCCCCCC,-7.39625
CCCCCCCC,CCc1ccccc1,-7.57995
CCc1ccccc1,CCCCCCCC,-7.36782
CCCCCCCC,CCc1ccccc1,-7.61708
CCc1ccccc1,CCCCCCCC,-7.34696
CCCCCCCC,CCc1ccccc1,-7.6587
CCc1ccccc1,CCCCCCCC,-7.32926
CCCCCCCC,CCc1ccccc1,-7.71486
CCc1ccccc1,CCCCCCCC,-7.31705
CCCCCCCC,CCc1ccccc1,-7.78708
CCc1ccccc1,CCCCCCCC,-7.58815
CCCCCCCC,CCc1ccccc1,-7.57745
CCCCCCCC,CCc1ccccc1,-7.57708
CCc1ccccc1,CCCCCCCC,-7.3729
CCc1ccccc1,CCCCCCCC,-7.57654
