Smiles,T,Property
CCCCCCCC/C=C\CCCCCCCC(=O)OCC,273,-4.35337
CCCCCCCC/C=C\CCCCCCCC(=O)OCC,298,-5.15063
CCCCCCCC/C=C\CCCCCCCC(=O)OCC,323,-5.72367
CCCCCCCC,273,-7.25874
CCCCCCCC,298,-7.57534
CCCCCCCC,323,-7.84469
C=CCCCCCC,298,-7.63733
C=CCCCCCC,323,-7.89027
CCCCCCCCN(CCCCCCCC)CCCCCCCC,298,-4.77982
CCCCCCCCN(CCCCCCCC)CCCCCCCC,323,-5.4855
CCCCCCCN,298,-6.90354
CCCCCCCN,323,-7.30308
N#CCCCCC#N,298,-5.08097
N#CCCCCC#N,323,-5.61817
CCCCCCCO,298,-5.13418
CCCCCCCO,323,-5.88135
CCCCCCC=O,298,-6.97763
CCCCCCC=O,323,-7.31826
CCCOC(=O)CC(=O)OCCC,298,-5.99303
CCCOC(=O)CC(=O)OCCC,323,-6.46064
CCCCCCCC(=O)OCCCCCC,298,-5.90211
CCCCCCCC(=O)OCCCCCC,323,-6.36695
CCCCCCOC(=O)CCCC,298,-6.41787
CCCCCCOC(=O)CCCC,323,-6.81519
CCCCOCCO,298,-5.87162
CCCCOCCO,323,-6.4568
COCCOCCO,298,-5.65711
COCCOCCO,323,-6.2327
CCCCCC/C=C/C(=O)OC,298,-6.04688
CCCCCC/C=C/C(=O)OC,323,-6.51644
CCCCCCCCCCCC(=O)OC,298,-5.87461
CCCCCCCCCCCC(=O)OC,323,-6.3692
CCCCCCCCBr,273,-6.0023
CCCCCCCCBr,298,-6.48606
CCCCCCCCBr,323,-6.86432
CCCCCCCCC,273,-6.93904
CCCCCCCCC,298,-7.31252
CCCCCCCCC,323,-7.61352
CCCCCCCCCl,298,-6.79451
CCCCCCCCCl,323,-7.14579
CCCCCCCCN,298,-6.66738
CCCCCCCCN,323,-7.08786
CCCCCCCCO,298,-4.88561
CCCCCCCCO,323,-5.68361
CCCCCCCCS,273,-6.22759
CCCCCCCCS,298,-6.80339
CCCCCCCCS,323,-7.16694
COCCCCCOC,273,-6.88267
COCCCCCOC,298,-7.06735
COCCCCCOC,323,-7.26096
CCCCNCCCC,298,-7.09473
CCCCNCCCC,323,-7.45068
COC(=O)CCCC(=O)OC,273,-5.53502
COC(=O)CCCC(=O)OC,298,-5.9947
COC(=O)CCCC(=O)OC,323,-6.39787
CCCCCCCCC(C)O,298,-4.88606
CCCCCCCCC(C)O,323,-5.8894
CCCCCCCCCCC,273,-6.36503
CCCCCCCCCCC,298,-6.83439
CCCCCCCCCCC,323,-7.19847
CCCCCC/C=C\CCCCCCCC(=O)OC,273,-4.79536
CCCCCC/C=C\CCCCCCCC(=O)OC,298,-5.58532
CCCCCC/C=C\CCCCCCCC(=O)OC,323,-6.11369
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC,298,-4.69222
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC,323,-5.33287
C=CCCCCCCCCCCCC,273,-5.6952
C=CCCCCCCCCCCCC,298,-6.26501
C=CCCCCCCCCCCCC,323,-6.69622
CCCCCCCCC(=O)O,298,-4.97739
CCCCCCCCC(=O)O,323,-5.60791
CCCCCCCOC(C)=O,273,-6.05997
CCCCCCCOC(C)=O,298,-6.58265
CCCCCCCOC(C)=O,323,-6.96963
CCCCCCCCCC(C)=O,298,-6.28258
CCCCCCCCCC(C)=O,323,-6.72599
CCCCCCCCOC(C)=O,273,-5.93849
CCCCCCCCOC(C)=O,298,-6.4273
CCCCCCCCOC(C)=O,323,-6.81547
CCCCCCCCCCOC(C)=O,273,-5.50399
CCCCCCCCCCOC(C)=O,298,-6.04945
CCCCCCCCCCOC(C)=O,323,-6.47065
CCCCCCCCCN,298,-6.41225
CCCCCCCCCN,323,-6.88041
CCCCCCCOC=O,298,-6.76809
CCCCCCCOC=O,323,-7.11529
NCCNCCNCCN,273,-3.12948
NCCNCCNCCN,298,-3.95513
NCCNCCNCCN,323,-4.64604
CCCCCCOCCO,273,-5.45835
CCCCCCOCCO,298,-6.02425
CCCCCCOCCO,323,-6.49639
OCCOCCOCCO,273,-1.86773
OCCOCCOCCO,298,-3.29996
OCCOCCOCCO,323,-4.31847
CCCCCCCCCCBr,273,-5.56838
CCCCCCCCCCBr,298,-6.09254
CCCCCCCCCCBr,323,-6.50753
