MolFrac_1,T
0.4789,293.35
0.5934,293.35
0.7132,293.35
0.8542,293.35
1.0,293.35
0.0,302.75
0.09206,302.75
0.1748,302.75
0.2667,302.75
0.3716,302.75
0.4789,302.75
0.5934,302.75
0.7132,302.75
0.8542,302.75
1.0,302.75
0.0,313.15
0.09206,313.15
0.1748,313.15
0.2667,313.15
0.3716,313.15
0.4789,313.15
0.5934,313.15
0.7132,313.15
0.8542,313.15
1.0,313.15
0.0,313.05
0.111,313.05
0.2288,313.05
0.3265,313.05
0.4169,313.05
0.4949,313.05
0.5828,313.05
0.6568,313.05
0.737,313.05
0.8217,313.05
0.9089,313.05
1.0,313.05
0.0,293.15
0.114,293.15
0.2122,293.15
0.2884,293.15
0.3889,293.15
0.4659,293.15
0.5458,293.15
0.6187,293.15
0.6851,293.15
0.75,293.15
0.8215,293.15
0.8827,293.15
0.9428,293.15
1.0,293.15
0.0,302.95
0.0998,302.95
0.2041,302.95
0.2958,302.95
0.385,302.95
0.477,302.95
0.5549,302.95
0.6224,302.95
0.6955,302.95
0.7591,302.95
0.8274,302.95
0.8884,302.95
0.9463,302.95
1.0,302.95
0.0,313.35
0.0998,313.35
0.2041,313.35
0.2958,313.35
0.385,313.35
0.477,313.35
0.5549,313.35
0.6224,313.35
0.6955,313.35
0.7591,313.35
0.8274,313.35
0.8884,313.35
0.9463,313.35
1.0,313.35
0.133,303.15
0.2435,303.15
0.3531,303.15
0.4454,303.15
0.5306,303.15
0.6104,303.15
0.6735,303.15
0.7266,303.15
0.7989,303.15
0.8548,303.15
0.908,303.15
0.9541,303.15
1.0,303.15
0.133,313.15
0.2435,313.15
0.3531,313.15
0.4454,313.15
0.5306,313.15
0.6104,313.15
0.6735,313.15
0.7266,313.15
0.7989,313.15
0.8548,313.15
0.908,313.15
0.9541,313.15
1.0,313.15
0.0,293.25
0.0915,293.25
0.1689999999999999,293.25
0.2877,293.25
0.4271,293.25
0.5326,293.25
0.6464,293.25
0.7197,293.25
0.7988,293.25
0.8785,293.25
0.942,293.25
1.0,293.25
0.0,303.15
0.0926,303.15
0.1813,303.15
0.328,303.15
0.5156,303.15
0.6595,303.15
0.7615,303.15
0.8443,303.15
0.9,303.15
0.9463,303.15
1.0,303.15
0.0,313.15
0.0926,313.15
0.1813,313.15
0.328,313.15
0.5156,313.15
0.6595,313.15
0.7615,313.15
0.8443,313.15
0.9,313.15
0.9463,313.15
1.0,313.15
0.0,293.25
0.1009999999999999,293.25
0.1895,293.25
0.2876,293.25
0.3677,293.25
0.4518,293.25
0.5297,293.25
0.6094,293.25
0.6758,293.25
0.7465,293.25
0.8203,293.25
0.8731,293.25
0.9409,293.25
1.0,293.25
0.0,303.05
0.104,303.05
0.194,303.05
0.2786,303.05
0.3683,303.05
